"lang","word","sentiment","value"
"english","animated","positive",1
"english","antibiotics","positive",1
"english","antidote","positive",1
"english","antifungal","positive",1
"english","antique","positive",1
"english","antiseptic","positive",1
"english","aplomb","positive",1
"english","apologetic","positive",1
"english","apologize","positive",1
"english","apology","positive",1
"english","apostle","positive",1
"english","applause","positive",1
"english","appreciation","positive",1
"english","approbation","positive",1
"english","approval","positive",1
"english","approve","positive",1
"english","approving","positive",1
"english","apt","positive",1
"english","aptitude","positive",1
"english","archaeology","positive",1
"english","ardent","positive",1
"english","ardor","positive",1
"english","aristocracy","positive",1
"english","aristocratic","positive",1
"english","armed","positive",1
"english","armor","positive",1
"english","aroma","positive",1
"english","arouse","positive",1
"english","array","positive",1
"english","art","positive",1
"english","articulate","positive",1
"english","articulation","positive",1
"english","artisan","positive",1
"english","artiste","positive",1
"english","artistic","positive",1
"english","ascendancy","positive",1
"english","ascent","positive",1
"english","aspiration","positive",1
"english","aspire","positive",1
"english","aspiring","positive",1
"english","assembly","positive",1
"english","assent","positive",1
"english","asserting","positive",1
"english","assets","positive",1
"english","assist","positive",1
"english","assistance","positive",1
"english","associate","positive",1
"english","assuage","positive",1
"english","assurance","positive",1
"english","assured","positive",1
"english","astonishingly","positive",1
"english","astonishment","positive",1
"english","astrologer","positive",1
"english","astronaut","positive",1
"english","astronomer","positive",1
"english","astute","positive",1
"english","athlete","positive",1
"english","athletic","positive",1
"english","atom","positive",1
"english","atone","positive",1
"english","atonement","positive",1
"english","attachment","positive",1
"english","attainable","positive",1
"english","attainment","positive",1
"english","attendant","positive",1
"english","attention","positive",1
"english","attentive","positive",1
"english","attest","positive",1
"english","attorney","positive",1
"english","attraction","positive",1
"english","attractiveness","positive",1
"english","augment","positive",1
"english","august","positive",1
"english","aunt","positive",1
"english","aura","positive",1
"english","auspicious","positive",1
"english","authentic","positive",1
"english","authenticity","positive",1
"english","author","positive",1
"english","authoritative","positive",1
"english","authority","positive",1
"english","authorization","positive",1
"english","authorized","positive",1
"english","avatar","positive",1
"english","award","positive",1
"english","ay","positive",1
"english","aye","positive",1
"english","baby","positive",1
"english","baccalaureate","positive",1
"english","backbone","positive",1
"english","balance","positive",1
"english","balanced","positive",1
"english","ballad","positive",1
"english","ballet","positive",1
"english","ballot","positive",1
"english","balm","positive",1
"english","balsam","positive",1
"english","banquet","positive",1
"english","baptism","positive",1
"english","baptismal","positive",1
"english","bard","positive",1
"english","bargain","positive",1
"english","basketball","positive",1
"english","bastion","positive",1
"english","bath","positive",1
"english","beam","positive",1
"english","beaming","positive",1
"english","beautification","positive",1
"english","beautiful","positive",1
"english","beautify","positive",1
"english","beauty","positive",1
"english","bedrock","positive",1
"english","beer","positive",1
"english","befitting","positive",1
"english","befriend","positive",1
"english","believing","positive",1
"english","benefactor","positive",1
"english","beneficial","positive",1
"english","benefit","positive",1
"english","benevolence","positive",1
"english","benign","positive",1
"english","berth","positive",1
"english","betrothed","positive",1
"english","betterment","positive",1
"english","beverage","positive",1
"english","biblical","positive",1
"english","bilingual","positive",1
"english","birth","positive",1
"english","birthday","positive",1
"english","blameless","positive",1
"english","bless","positive",1
"english","blessed","positive",1
"english","blessing","positive",1
"english","blessings","positive",1
"english","bliss","positive",1
"english","blissful","positive",1
"english","bloodless","positive",1
"english","bloom","positive",1
"english","blossom","positive",1
"english","boast","positive",1
"english","bodyguard","positive",1
"english","boisterous","positive",1
"english","bold","positive",1
"english","boldness","positive",1
"english","bolster","positive",1
"english","bonanza","positive",1
"english","bonne","positive",1
"english","bonus","positive",1
"english","bookish","positive",1
"english","bookshop","positive",1
"english","bookworm","positive",1
"english","boon","positive",1
"english","bountiful","positive",1
"english","bounty","positive",1
"english","bouquet","positive",1
"english","brains","positive",1
"english","bravery","positive",1
"english","breakfast","positive",1
"english","bridal","positive",1
"english","bride","positive",1
"english","bridegroom","positive",1
"english","bridesmaid","positive",1
"english","brighten","positive",1
"english","brightness","positive",1
"english","brilliant","positive",1
"english","brocade","positive",1
"english","brother","positive",1
"english","brotherhood","positive",1
"english","brotherly","positive",1
"english","buck","positive",1
"english","buddy","positive",1
"english","build","positive",1
"english","building","positive",1
"english","bulldog","positive",1
"english","bulletproof","positive",1
"english","buoy","positive",1
"english","buss","positive",1
"english","butler","positive",1
"english","buttery","positive",1
"english","buxom","positive",1
"english","buzz","positive",1
"english","cab","positive",1
"english","cabinet","positive",1
"english","cafe","positive",1
"english","calculator","positive",1
"english","calf","positive",1
"english","calm","positive",1
"english","canary","positive",1
"english","candid","positive",1
"english","candidate","positive",1
"english","candied","positive",1
"english","capitalist","positive",1
"english","captain","positive",1
"english","captivate","positive",1
"english","captivating","positive",1
"english","career","positive",1
"english","careful","positive",1
"english","carefully","positive",1
"english","caress","positive",1
"english","caretaker","positive",1
"english","carol","positive",1
"english","cascade","positive",1
"english","cash","positive",1
"english","categorical","positive",1
"english","cater","positive",1
"english","cathartic","positive",1
"english","cathedral","positive",1
"english","cautious","positive",1
"english","cautiously","positive",1
"english","celebrated","positive",1
"english","celebrating","positive",1
"english","celebration","positive",1
"english","celebrity","positive",1
"english","celestial","positive",1
"english","center","positive",1
"english","centurion","positive",1
"english","cerebral","positive",1
"english","ceremony","positive",1
"english","certainty","positive",1
"english","chairman","positive",1
"english","chairwoman","positive",1
"english","champion","positive",1
"english","chant","positive",1
"english","charger","positive",1
"english","charitable","positive",1
"english","charity","positive",1
"english","charm","positive",1
"english","charmed","positive",1
"english","charming","positive",1
"english","chastity","positive",1
"english","chattering","positive",1
"english","checklist","positive",1
"english","cheer","positive",1
"english","cheerful","positive",1
"english","cheerfulness","positive",1
"english","cheering","positive",1
"english","cheery","positive",1
"english","chemist","positive",1
"english","cherish","positive",1
"english","cherry","positive",1
"english","chieftain","positive",1
"english","child","positive",1
"english","childhood","positive",1
"english","chirp","positive",1
"english","chisel","positive",1
"english","chivalry","positive",1
"english","chocolate","positive",1
"english","choice","positive",1
"english","choir","positive",1
"english","choral","positive",1
"english","chorus","positive",1
"english","chosen","positive",1
"english","chowder","positive",1
"english","chronicle","positive",1
"english","chuckle","positive",1
"english","church","positive",1
"english","cider","positive",1
"english","circumcision","positive",1
"english","circumvention","positive",1
"english","citizen","positive",1
"english","civil","positive",1
"english","civility","positive",1
"english","civilization","positive",1
"english","civilized","positive",1
"english","clairvoyant","positive",1
"english","clap","positive",1
"english","clarify","positive",1
"english","classic","positive",1
"english","classical","positive",1
"english","classics","positive",1
"english","classify","positive",1
"english","clean","positive",1
"english","cleaning","positive",1
"english","cleanliness","positive",1
"english","cleanly","positive",1
"english","cleanse","positive",1
"english","cleansing","positive",1
"english","clearance","positive",1
"english","clearness","positive",1
"english","clerical","positive",1
"english","clever","positive",1
"english","cleverness","positive",1
"english","climax","positive",1
"english","closeness","positive",1
"english","closure","positive",1
"english","clothe","positive",1
"english","clown","positive",1
"english","coalition","positive",1
"english","coast","positive",1
"english","coexist","positive",1
"english","cogent","positive",1
"english","cognitive","positive",1
"english","coherence","positive",1
"english","coherent","positive",1
"english","cohesive","positive",1
"english","collectively","positive",1
"english","colonel","positive",1
"english","colossal","positive",1
"english","comfort","positive",1
"english","commandant","positive",1
"english","commanding","positive",1
"english","commemorate","positive",1
"english","commemoration","positive",1
"english","commemorative","positive",1
"english","commend","positive",1
"english","commendable","positive",1
"english","commentator","positive",1
"english","committed","positive",1
"english","commodore","positive",1
"english","commonwealth","positive",1
"english","communicate","positive",1
"english","communicative","positive",1
"english","communion","positive",1
"english","community","positive",1
"english","commutation","positive",1
"english","commute","positive",1
"english","companion","positive",1
"english","compassion","positive",1
"english","compassionate","positive",1
"english","compatibility","positive",1
"english","compatible","positive",1
"english","compelling","positive",1
"english","compensate","positive",1
"english","compensatory","positive",1
"english","competence","positive",1
"english","competency","positive",1
"english","competent","positive",1
"english","complacency","positive",1
"english","complement","positive",1
"english","complementary","positive",1
"english","completely","positive",1
"english","completeness","positive",1
"english","completing","positive",1
"english","completion","positive",1
"english","compliance","positive",1
"english","compliant","positive",1
"english","complicity","positive",1
"english","compliment","positive",1
"english","composed","positive",1
"english","composer","positive",1
"english","composure","positive",1
"english","comprehend","positive",1
"english","comprehensive","positive",1
"english","comrade","positive",1
"english","concentric","positive",1
"english","conciliation","positive",1
"english","concluding","positive",1
"english","concord","positive",1
"english","concordance","positive",1
"english","condolence","positive",1
"english","condone","positive",1
"english","conducive","positive",1
"english","conductivity","positive",1
"english","confederate","positive",1
"english","confess","positive",1
"english","confidence","positive",1
"english","confident","positive",1
"english","confirmed","positive",1
"english","conformance","positive",1
"english","congenial","positive",1
"english","congratulatory","positive",1
"english","congregation","positive",1
"english","congruence","positive",1
"english","connoisseur","positive",1
"english","conscience","positive",1
"english","conscientious","positive",1
"english","consciousness","positive",1
"english","consecration","positive",1
"english","conservation","positive",1
"english","conserve","positive",1
"english","considerable","positive",1
"english","considerate","positive",1
"english","consistency","positive",1
"english","console","positive",1
"english","consonant","positive",1
"english","constancy","positive",1
"english","constant","positive",1
"english","constitutional","positive",1
"english","construct","positive",1
"english","consummate","positive",1
"english","contact","positive",1
"english","contemplation","positive",1
"english","content","positive",1
"english","continue","positive",1
"english","contour","positive",1
"english","contribute","positive",1
"english","contributor","positive",1
"english","convenience","positive",1
"english","convenient","positive",1
"english","convent","positive",1
"english","convention","positive",1
"english","conversant","positive",1
"english","conversational","positive",1
"english","convert","positive",1
"english","convince","positive",1
"english","cool","positive",1
"english","coolness","positive",1
"english","cooperate","positive",1
"english","cooperating","positive",1
"english","cooperation","positive",1
"english","cooperative","positive",1
"english","core","positive",1
"english","coronation","positive",1
"english","corporation","positive",1
"english","corporeal","positive",1
"english","corrective","positive",1
"english","correspondence","positive",1
"english","corroborate","positive",1
"english","cosmopolitan","positive",1
"english","cosy","positive",1
"english","council","positive",1
"english","counsel","positive",1
"english","counselor","positive",1
"english","count","positive",1
"english","countess","positive",1
"english","courage","positive",1
"english","courageous","positive",1
"english","courteous","positive",1
"english","courtesy","positive",1
"english","courtship","positive",1
"english","cove","positive",1
"english","covenant","positive",1
"english","cradle","positive",1
"english","craft","positive",1
"english","craftsman","positive",1
"english","cream","positive",1
"english","create","positive",1
"english","creative","positive",1
"english","credence","positive",1
"english","credential","positive",1
"english","credibility","positive",1
"english","credible","positive",1
"english","credit","positive",1
"english","creditable","positive",1
"english","credited","positive",1
"english","crescendo","positive",1
"english","critique","positive",1
"english","crowning","positive",1
"english","crucial","positive",1
"english","crystal","positive",1
"english","cuddle","positive",1
"english","culinary","positive",1
"english","culmination","positive",1
"english","cultivate","positive",1
"english","cultivated","positive",1
"english","cultivation","positive",1
"english","culture","positive",1
"english","cunning","positive",1
"english","curable","positive",1
"english","curiosity","positive",1
"english","curl","positive",1
"english","cushion","positive",1
"english","customer","positive",1
"english","cute","positive",1
"english","cutters","positive",1
"english","dame","positive",1
"english","dance","positive",1
"english","daring","positive",1
"english","darling","positive",1
"english","dashing","positive",1
"english","daughter","positive",1
"english","dawn","positive",1
"english","deal","positive",1
"english","dear","positive",1
"english","debate","positive",1
"english","decency","positive",1
"english","decent","positive",1
"english","declaratory","positive",1
"english","dedication","positive",1
"english","defend","positive",1
"english","defended","positive",1
"english","defender","positive",1
"english","defending","positive",1
"english","defense","positive",1
"english","deference","positive",1
"english","definitive","positive",1
"english","degree","positive",1
"english","delectable","positive",1
"english","delegate","positive",1
"english","deliberate","positive",1
"english","delicious","positive",1
"english","delight","positive",1
"english","delighted","positive",1
"english","delightful","positive",1
"english","deliverance","positive",1
"english","delivery","positive",1
"english","democracy","positive",1
"english","demonstrable","positive",1
"english","demonstrative","positive",1
"english","dependent","positive",1
"english","depth","positive",1
"english","descriptive","positive",1
"english","deserve","positive",1
"english","deserved","positive",1
"english","designer","positive",1
"english","desirable","positive",1
"english","desiring","positive",1
"english","desirous","positive",1
"english","destination","positive",1
"english","detect","positive",1
"english","detection","positive",1
"english","determination","positive",1
"english","determined","positive",1
"english","develop","positive",1
"english","devotional","positive",1
"english","devout","positive",1
"english","dexterity","positive",1
"english","diamond","positive",1
"english","diary","positive",1
"english","dictionary","positive",1
"english","didactic","positive",1
"english","dietary","positive",1
"english","dignified","positive",1
"english","dignity","positive",1
"english","diligence","positive",1
"english","dinner","positive",1
"english","diplomacy","positive",1
"english","diplomatic","positive",1
"english","director","positive",1
"english","discovery","positive",1
"english","discreet","positive",1
"english","discretion","positive",1
"english","discretionary","positive",1
"english","discussion","positive",1
"english","disinfection","positive",1
"english","disposed","positive",1
"english","disseminate","positive",1
"english","distillation","positive",1
"english","distinction","positive",1
"english","ditty","positive",1
"english","diverse","positive",1
"english","diversified","positive",1
"english","diversion","positive",1
"english","divinity","positive",1
"english","doctor","positive",1
"english","doer","positive",1
"english","dogged","positive",1
"english","dolphin","positive",1
"english","dominate","positive",1
"english","don","positive",1
"english","donation","positive",1
"english","doubtless","positive",1
"english","dove","positive",1
"english","downy","positive",1
"english","duet","positive",1
"english","duke","positive",1
"english","durability","positive",1
"english","durable","positive",1
"english","dutiful","positive",1
"english","eager","positive",1
"english","eagerness","positive",1
"english","earl","positive",1
"english","earn","positive",1
"english","earnest","positive",1
"english","earnestly","positive",1
"english","earnestness","positive",1
"english","ease","positive",1
"english","easement","positive",1
"english","easygoing","positive",1
"english","eat","positive",1
"english","ecstasy","positive",1
"english","ecstatic","positive",1
"english","edification","positive",1
"english","educate","positive",1
"english","educated","positive",1
"english","educational","positive",1
"english","effective","positive",1
"english","efficacy","positive",1
"english","efficiency","positive",1
"english","efficient","positive",1
"english","effort","positive",1
"english","ejaculation","positive",1
"english","elaboration","positive",1
"english","elated","positive",1
"english","elder","positive",1
"english","elders","positive",1
"english","elect","positive",1
"english","electric","positive",1
"english","electricity","positive",1
"english","elegance","positive",1
"english","elegant","positive",1
"english","elevation","positive",1
"english","eligible","positive",1
"english","elite","positive",1
"english","eloquence","positive",1
"english","eloquent","positive",1
"english","elucidate","positive",1
"english","emancipation","positive",1
"english","embrace","positive",1
"english","emeritus","positive",1
"english","eminence","positive",1
"english","eminent","positive",1
"english","eminently","positive",1
"english","emir","positive",1
"english","empathy","positive",1
"english","empower","positive",1
"english","emulate","positive",1
"english","enable","positive",1
"english","enablement","positive",1
"english","enchant","positive",1
"english","enchanted","positive",1
"english","enchanting","positive",1
"english","encore","positive",1
"english","encourage","positive",1
"english","encouragement","positive",1
"english","encyclopedia","positive",1
"english","endeavor","positive",1
"english","endless","positive",1
"english","endow","positive",1
"english","endowed","positive",1
"english","endowment","positive",1
"english","endurance","positive",1
"english","endure","positive",1
"english","energetic","positive",1
"english","enforce","positive",1
"english","engaged","positive",1
"english","engaging","positive",1
"english","enhance","positive",1
"english","enjoy","positive",1
"english","enjoying","positive",1
"english","enlighten","positive",1
"english","enlightenment","positive",1
"english","enliven","positive",1
"english","enrich","positive",1
"english","ensemble","positive",1
"english","ensign","positive",1
"english","enterprising","positive",1
"english","entertain","positive",1
"english","entertained","positive",1
"english","entertaining","positive",1
"english","entertainment","positive",1
"english","enthusiasm","positive",1
"english","enthusiast","positive",1
"english","environ","positive",1
"english","ephemeris","positive",1
"english","epic","positive",1
"english","epitome","positive",1
"english","equality","positive",1
"english","equally","positive",1
"english","equilibrium","positive",1
"english","equity","positive",1
"english","erotic","positive",1
"english","errand","positive",1
"english","erudite","positive",1
"english","escape","positive",1
"english","esprit","positive",1
"english","essential","positive",1
"english","established","positive",1
"english","esteem","positive",1
"english","esthetic","positive",1
"english","ethical","positive",1
"english","ethics","positive",1
"english","evergreen","positive",1
"english","everlasting","positive",1
"english","evident","positive",1
"english","evolution","positive",1
"english","exalt","positive",1
"english","exaltation","positive",1
"english","exalted","positive",1
"english","exceed","positive",1
"english","excel","positive",1
"english","excellence","positive",1
"english","excellent","positive",1
"english","exchange","positive",1
"english","excitable","positive",1
"english","excitation","positive",1
"english","excite","positive",1
"english","excited","positive",1
"english","excitement","positive",1
"english","exciting","positive",1
"english","exemplary","positive",1
"english","exemption","positive",1
"english","exhilaration","positive",1
"english","exhort","positive",1
"english","exhortation","positive",1
"english","existence","positive",1
"english","exotic","positive",1
"english","expect","positive",1
"english","expectation","positive",1
"english","expedient","positive",1
"english","expedition","positive",1
"english","experienced","positive",1
"english","expert","positive",1
"english","expertise","positive",1
"english","explain","positive",1
"english","exquisite","positive",1
"english","exquisitely","positive",1
"english","extend","positive",1
"english","extensive","positive",1
"english","extra","positive",1
"english","extraordinary","positive",1
"english","extricate","positive",1
"english","exuberance","positive",1
"english","facilitate","positive",1
"english","facts","positive",1
"english","faculty","positive",1
"english","fain","positive",1
"english","fair","positive",1
"english","fairly","positive",1
"english","faith","positive",1
"english","faithful","positive",1
"english","fame","positive",1
"english","familiar","positive",1
"english","familiarity","positive",1
"english","famous","positive",1
"english","famously","positive",1
"english","fancy","positive",1
"english","fanfare","positive",1
"english","fascinating","positive",1
"english","fascination","positive",1
"english","fashionable","positive",1
"english","faultless","positive",1
"english","favorable","positive",1
"english","favorite","positive",1
"english","favoritism","positive",1
"english","fearless","positive",1
"english","feat","positive",1
"english","feature","positive",1
"english","feeling","positive",1
"english","felicity","positive",1
"english","fellow","positive",1
"english","fellowship","positive",1
"english","female","positive",1
"english","fertile","positive",1
"english","fervor","positive",1
"english","festival","positive",1
"english","festive","positive",1
"english","fete","positive",1
"english","fidelity","positive",1
"english","fiesta","positive",1
"english","finally","positive",1
"english","finery","positive",1
"english","finesse","positive",1
"english","fireball","positive",1
"english","fireproof","positive",1
"english","firmness","positive",1
"english","firstborn","positive",1
"english","fitting","positive",1
"english","fixture","positive",1
"english","flattering","positive",1
"english","fleet","positive",1
"english","flexibility","positive",1
"english","flirt","positive",1
"english","floral","positive",1
"english","flow","positive",1
"english","flowery","positive",1
"english","flush","positive",1
"english","flying","positive",1
"english","focus","positive",1
"english","fondness","positive",1
"english","food","positive",1
"english","football","positive",1
"english","forbearance","positive",1
"english","fore","positive",1
"english","forefathers","positive",1
"english","foregoing","positive",1
"english","foreman","positive",1
"english","forerunner","positive",1
"english","foresee","positive",1
"english","foreseen","positive",1
"english","foresight","positive",1
"english","forge","positive",1
"english","forgive","positive",1
"english","forgiven","positive",1
"english","forgiving","positive",1
"english","formative","positive",1
"english","formula","positive",1
"english","forte","positive",1
"english","forthcoming","positive",1
"english","fortify","positive",1
"english","fortitude","positive",1
"english","fortress","positive",1
"english","fortunate","positive",1
"english","fortune","positive",1
"english","forward","positive",1
"english","found","positive",1
"english","foundation","positive",1
"english","fragrant","positive",1
"english","frank","positive",1
"english","frankness","positive",1
"english","fraternal","positive",1
"english","freedom","positive",1
"english","freely","positive",1
"english","friend","positive",1
"english","friendliness","positive",1
"english","friendly","positive",1
"english","friendship","positive",1
"english","frisky","positive",1
"english","frolic","positive",1
"english","frugal","positive",1
"english","fruitful","positive",1
"english","fulfill","positive",1
"english","fulfillment","positive",1
"english","full","positive",1
"english","fully","positive",1
"english","fun","positive",1
"english","fundamental","positive",1
"english","fuse","positive",1
"english","fusion","positive",1
"english","gain","positive",1
"english","gaining","positive",1
"english","gallant","positive",1
"english","gallantry","positive",1
"english","galore","positive",1
"english","garden","positive",1
"english","garnet","positive",1
"english","garrison","positive",1
"english","gazette","positive",1
"english","gear","positive",1
"english","gem","positive",1
"english","general","positive",1
"english","generosity","positive",1
"english","generous","positive",1
"english","genial","positive",1
"english","genius","positive",1
"english","genteel","positive",1
"english","gentleman","positive",1
"english","gentleness","positive",1
"english","gentry","positive",1
"english","genuine","positive",1
"english","geranium","positive",1
"english","gift","positive",1
"english","gifted","positive",1
"english","gigantic","positive",1
"english","giggle","positive",1
"english","girder","positive",1
"english","giving","positive",1
"english","glad","positive",1
"english","gladness","positive",1
"english","glee","positive",1
"english","glide","positive",1
"english","glimmer","positive",1
"english","glittering","positive",1
"english","glorification","positive",1
"english","glorify","positive",1
"english","glory","positive",1
"english","gloss","positive",1
"english","glow","positive",1
"english","glowing","positive",1
"english","god","positive",1
"english","godly","positive",1
"english","godsend","positive",1
"english","gold","positive",1
"english","good","positive",1
"english","goodly","positive",1
"english","goodness","positive",1
"english","goods","positive",1
"english","goodwill","positive",1
"english","gorgeous","positive",1
"english","gospel","positive",1
"english","govern","positive",1
"english","grace","positive",1
"english","graceful","positive",1
"english","gracious","positive",1
"english","graciously","positive",1
"english","graduation","positive",1
"english","grandchildren","positive",1
"english","grandeur","positive",1
"english","grandmother","positive",1
"english","grant","positive",1
"english","granted","positive",1
"english","grateful","positive",1
"english","gratify","positive",1
"english","gratitude","positive",1
"english","greater","positive",1
"english","greatness","positive",1
"english","green","positive",1
"english","greeting","positive",1
"english","gregarious","positive",1
"english","grin","positive",1
"english","grist","positive",1
"english","grit","positive",1
"english","groundwork","positive",1
"english","grow","positive",1
"english","growth","positive",1
"english","guarantee","positive",1
"english","guard","positive",1
"english","guardian","positive",1
"english","guardianship","positive",1
"english","gubernatorial","positive",1
"english","guidance","positive",1
"english","guide","positive",1
"english","guidebook","positive",1
"english","guru","positive",1
"english","guts","positive",1
"english","gymnast","positive",1
"english","habitat","positive",1
"english","hail","positive",1
"english","hale","positive",1
"english","handy","positive",1
"english","happily","positive",1
"english","happiness","positive",1
"english","happy","positive",1
"english","hardy","positive",1
"english","harmoniously","positive",1
"english","harmony","positive",1
"english","harvest","positive",1
"english","haven","positive",1
"english","headway","positive",1
"english","heal","positive",1
"english","healing","positive",1
"english","healthful","positive",1
"english","healthy","positive",1
"english","heartfelt","positive",1
"english","hearth","positive",1
"english","heartily","positive",1
"english","heavenly","positive",1
"english","heavens","positive",1
"english","hedonism","positive",1
"english","heft","positive",1
"english","helmet","positive",1
"english","helper","positive",1
"english","helpful","positive",1
"english","herbal","positive",1
"english","hero","positive",1
"english","heroic","positive",1
"english","heroics","positive",1
"english","heroine","positive",1
"english","heroism","positive",1
"english","heyday","positive",1
"english","highest","positive",1
"english","hilarious","positive",1
"english","hilarity","positive",1
"english","hire","positive",1
"english","hobby","positive",1
"english","holiday","positive",1
"english","holiness","positive",1
"english","holy","positive",1
"english","homage","positive",1
"english","homology","positive",1
"english","honest","positive",1
"english","honesty","positive",1
"english","honey","positive",1
"english","honeymoon","positive",1
"english","honor","positive",1
"english","honorable","positive",1
"english","hope","positive",1
"english","hopeful","positive",1
"english","horizon","positive",1
"english","hospitality","positive",1
"english","household","positive",1
"english","housekeeping","positive",1
"english","hug","positive",1
"english","humane","positive",1
"english","humanitarian","positive",1
"english","humanity","positive",1
"english","humble","positive",1
"english","humbled","positive",1
"english","humbly","positive",1
"english","humility","positive",1
"english","humorist","positive",1
"english","humorous","positive",1
"english","hurrah","positive",1
"english","husbandry","positive",1
"english","hush","positive",1
"english","hut","positive",1
"english","hygienic","positive",1
"english","hymn","positive",1
"english","idealism","positive",1
"english","idol","positive",1
"english","illuminate","positive",1
"english","illumination","positive",1
"english","illustrate","positive",1
"english","illustrious","positive",1
"english","imaginative","positive",1
"english","immaculate","positive",1
"english","immediately","positive",1
"english","immense","positive",1
"english","immerse","positive",1
"english","immortal","positive",1
"english","immovable","positive",1
"english","impart","positive",1
"english","impartial","positive",1
"english","impartiality","positive",1
"english","impeccable","positive",1
"english","impervious","positive",1
"english","importance","positive",1
"english","important","positive",1
"english","impress","positive",1
"english","impression","positive",1
"english","improve","positive",1
"english","improved","positive",1
"english","improvement","positive",1
"english","improving","positive",1
"english","improvise","positive",1
"english","inalienable","positive",1
"english","inauguration","positive",1
"english","incisive","positive",1
"english","include","positive",1
"english","included","positive",1
"english","including","positive",1
"english","inclusive","positive",1
"english","income","positive",1
"english","increase","positive",1
"english","indelible","positive",1
"english","indemnity","positive",1
"english","independence","positive",1
"english","indestructible","positive",1
"english","individuality","positive",1
"english","indomitable","positive",1
"english","ineffable","positive",1
"english","inexpensive","positive",1
"english","infallible","positive",1
"english","infant","positive",1
"english","infiltration","positive",1
"english","infinite","positive",1
"english","infinity","positive",1
"english","influence","positive",1
"english","influential","positive",1
"english","information","positive",1
"english","ingenious","positive",1
"english","inheritance","positive",1
"english","inimitable","positive",1
"english","innocence","positive",1
"english","innocent","positive",1
"english","innocently","positive",1
"english","innocuous","positive",1
"english","innovate","positive",1
"english","innovation","positive",1
"english","inquirer","positive",1
"english","inquiry","positive",1
"english","inquisitive","positive",1
"english","inseparable","positive",1
"english","insignia","positive",1
"english","inspector","positive",1
"english","inspiration","positive",1
"english","inspire","positive",1
"english","inspired","positive",1
"english","instinctive","positive",1
"english","instruct","positive",1
"english","instruction","positive",1
"english","instructor","positive",1
"english","instrumental","positive",1
"english","insure","positive",1
"english","intact","positive",1
"english","integrity","positive",1
"english","intellect","positive",1
"english","intellectual","positive",1
"english","intelligence","positive",1
"english","intelligent","positive",1
"english","intended","positive",1
"english","intense","positive",1
