"Scene","Character","Sayings"
"Scene_2:_Judy_Confronts_Gideon","Sharla","Ow! Cut it out, Gideon!"
"Scene_2:_Judy_Confronts_Gideon","Young Gideon Grey","Baaa, baaa! [takes the tickets] What are you gonna do, cry?"
"Scene_2:_Judy_Confronts_Gideon","Young Judy Hopps","[steps forward] Hey! You heard her, cut it out. [Travis runs behind Judy]"
"Scene_2:_Judy_Confronts_Gideon","Young Gideon Grey","[sarcastically] Nice costume, loser! What crazy world are you livin' in where you think a bunny could be a cop?"
"Scene_2:_Judy_Confronts_Gideon","Young Judy Hopps","[unfazed, she puts her hand out] Kindly return my friend's tickets."
"Scene_2:_Judy_Confronts_Gideon","Young Gideon Grey","[taps his overalls pocket] Come and get 'em! But watch out, 'cause I'm a fox, and like you said in your dumb little stage play, us predators used to eat prey! And our killer instinct's still in our duh-nuh."
"Scene_2:_Judy_Confronts_Gideon","Travis","Uh, I'm pretty much sure it's pronounced D-N-A."
"Scene_2:_Judy_Confronts_Gideon","Young Gideon Grey","[irritated, he swats at Travis] Don't tell me what I know, Travis! [Travis recoils]"
"Scene_2:_Judy_Confronts_Gideon","Young Judy Hopps","You don't scare me, Gideon! [Gideon pushes Judy hard to the ground, knocking her hat off; the children gasp and scream in shock before running behind a tree]"
"Scene_2:_Judy_Confronts_Gideon","Young Gideon Grey","Scared now? [Judy's face shows fear as her eyes water and her nose twitches]"
"Scene_2:_Judy_Confronts_Gideon","Travis","[laughing] Look at her nose twitch! She is scared!"
"Scene_2:_Judy_Confronts_Gideon","Young Gideon Grey","Cry, little baby bunny, cry! Cryy- [Then, Judy kicks Gideon hard in the face, causing the others to gasp, flabbergasted. Gideon feels his lip.] Aww, you don't know when to quit, do you? [Gideon unsheathes his claws. Judy gasps in fear, and Gideon growls, then slashes Judy across the cheek. She shrieks in agony, and her friends cringe; the rabbit girl and Sharla cover their eyes and Gareth bites his lip. Judy's cheek shows three claw marks on it. Judy feels her cheek and gasps, her face full of fear. Gideon grabs Judy's head, holding it into the ground as she whimpers] I want you to remember this moment the next time you think you will ever be anything more than just a stupid, carrot-farming dumb bunny! [he gives her head one final push for good measure]"
"Scene_2:_Judy_Confronts_Gideon","Gareth","That looks bad!"
"Scene_2:_Judy_Confronts_Gideon","Sharla","Are you okay, Judy?"
"Scene_2:_Judy_Confronts_Gideon","Young Judy Hopps","Yeah, yeah. I'm okay. [holds up tickets] Here you go."
"Scene_2:_Judy_Confronts_Gideon","Sharla","[takes the tickets back, impressed] Wow! You got our tickets!"
"Scene_2:_Judy_Confronts_Gideon","Gareth","You're awesome, Judy."
"Scene_2:_Judy_Confronts_Gideon","Sharla","Yeah! That Gideon Grey doesn't know what he's talkin' 'bout!"
"Scene_2:_Judy_Confronts_Gideon","Young Judy Hopps","Well, he was right about one thing: [Judy picks up her officer hat off the ground and puts it back on, as determination spreads rapidly across her face.] I don't know when to quit!"
"Scene_3:_The_Zootopia_Police_Academy","Major Friedkin","Listen up, cadets! Zootopia has twelve unique ecosystems within its city limits. Tundratown! Sahara Square! Rainforest District - to name a few! You're gonna have to master all of them before you hit the streets or guess what? [looks at Judy] You'll be dead! [Judy shows a surprised look.]"
"Scene_3:_The_Zootopia_Police_Academy","Major Friedkin","Scorching sandstorm! [the cadets make their way across through the Sahara Square section; Judy struggles, and the sand covers her completely; her tail sticks out.] You're dead, bunny bumpkin."
"Scene_3:_The_Zootopia_Police_Academy","Major Friedkin","One-thousand-foot fall!"
"Scene_3:_The_Zootopia_Police_Academy","Judy Hopps","Whoa! [Judy loses her grip and falls face flat in the mud.]"
"Scene_3:_The_Zootopia_Police_Academy","Major Friedkin","You're dead, carrot face!"
"Scene_3:_The_Zootopia_Police_Academy","Major Friedkin","Frigid ice-wall! [Judy tries to climb the iceberg wall, but slides off and falls in the icy water. She emerges, freezing.] You're dead, farm girl!"
"Scene_3:_The_Zootopia_Police_Academy","Major Friedkin","Enormous criminal! [Judy fights a rhino, but gets knocked back.] You're dead! [Scenes show Judy covered in tar in a tire, her ears caught in a police cruiser door, and falling off the vines.] Dead, dead, dead!"
"Scene_3:_The_Zootopia_Police_Academy","Judy Hopps","Whoa!"
"Scene_3:_The_Zootopia_Police_Academy","Major Friedkin","[from the stall right next to Judy's] Filthy toilet! You're dead, fluff-butt! [Scene changes to Judy outside at dusk.] Just quit and go home, fuzzy bunny."
"Scene_3:_The_Zootopia_Police_Academy","Stu Hopps","[faded] There's never been a bunny cop."
"Scene_3:_The_Zootopia_Police_Academy","Bonnie Hopps","[faded] Never!"
"Scene_3:_The_Zootopia_Police_Academy","Stu Hopps","[faded] Never."
"Scene_3:_The_Zootopia_Police_Academy","Young Gideon Grey","[faded] ...just a stupid, carrot-farming dumb bunny!"
"Scene_4:_Judy's_Graduation_Ceremony","Leodore Lionheart","As mayor of Zootopia, I am proud to announce that my mammal inclusion initiative has produced its first police academy graduate. Valedictorian of her class, ZPD's very first rabbit officer, Judy Hopps! [Judy in full police uniform, walks up with confidence as her family cheers for her.]"
"Scene_4:_Judy's_Graduation_Ceremony","Stu Hopps","[cries] Oh, gosh!"
"Scene_4:_Judy's_Graduation_Ceremony","Leodore Lionheart","Ahem, Assistant Mayor Bellwether, her badge."
"Scene_4:_Judy's_Graduation_Ceremony","Dawn Bellwether","[frantically looks for the badge] Oh, yes, right!"
"Scene_4:_Judy's_Graduation_Ceremony","Leodore Lionheart","Thank you."
"Scene_4:_Judy's_Graduation_Ceremony","Hopps sibling","Yay, Judy! [Bellwether places the badge on Judy's uniform.]"
"Scene_4:_Judy's_Graduation_Ceremony","Leodore Lionheart","Judy, it is my great privilege to officially assign you to the heart of Zootopia, precinct one, city center. [Judy lets out a squeal of excitement. Judy's brothers and sisters cheer, Bonnie and Stu look at each other in concern, clapping slowly.]"
"Scene_4:_Judy's_Graduation_Ceremony","Dawn Bellwether","Congratulations, Officer Hopps."
"Scene_4:_Judy's_Graduation_Ceremony","Judy Hopps","I won't let you down. [quietly] This has been my dream since I was a kid."
"Scene_4:_Judy's_Graduation_Ceremony","Dawn Bellwether","[aside] You know, it's a - it's a real proud day for us little guys."
"Scene_4:_Judy's_Graduation_Ceremony","Leodore Lionheart","Bellwether, make room, will ya? Come on. [pushes Bellwether out of the way by her face and poses next to Judy.] Okay, Officer Hopps. Let's see those teeth!"
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","We're real proud of you, Judy."
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","Yup, and scared too."
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","Yes."
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","Really, it's a - it's kind of a proud-scared combo. I mean, Zootopia, so far away, such a big city."
"Scene_5:_Judy_Travels_to_Zootopia","Judy Hopps","Guys, I've been working for this my whole life."
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","We know, and we're just a little excited for you, but terrified."
"Scene_5:_Judy_Travels_to_Zootopia","Judy Hopps","The only thing we have to fear is fear itself."
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","And also bears. We have bears to fear too, say nothing of lions and wolves-"
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","Wolves?"
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","Weasels!"
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","You play cribbage with a weasel."
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","Yeah, and he cheats like there's no tomorrow. [Judy sighs.] You know what? Pretty much all predators, and Zootopia's full of 'em."
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","Oh, Stu."
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","And foxes are the worst!"
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","Actually, your father does have a point there. It's in their biology. Remember what happened with Gideon Grey?"
"Scene_5:_Judy_Travels_to_Zootopia","Judy Hopps","When I was nine. Gideon Grey was a jerk who happened to be a fox. I know plenty of bunnies who are jerks."
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","Sure, yeah, we all do, absolutely. But just in case, [holds up a bag] we made a little care package to take with you."
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","Mm-mm. I put some snacks in there."
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","[takes out a spray bottle] This is fox deterrent."
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","Yeah, that's safe to have."
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","[takes out a repellent] This is fox repellent."
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","Okay, the deterrent and the repellent, that's all she needs."
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","[takes out a fox taser] Check this out! [Stu turns the fox taser on. The fox taser releases a powerful blast, nearly zapping Judy, who cringes.]"
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","Oh, for goodness sake! [pulls the fox taser away] She has no need for a fox taser, Stu!"
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","Oh, come on, when is there not a need for a fox taser?"
"Scene_5:_Judy_Travels_to_Zootopia","Judy Hopps","Okay, look! I will take this [Takes fox repellent] to make you stop talking."
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","[happily] Terrific! Everyone wins! [the train arrives]"
"Scene_5:_Judy_Travels_to_Zootopia","Announcer","Arriving, Zootopia Express."
"Scene_5:_Judy_Travels_to_Zootopia","Judy Hopps","Okay, gotta go. Bye! [Judy enters the train, other siblings are heard saying, ""Bye, Judy!"" Judy pauses for a second, then runs back and hugs her parents] I love you guys! [She kisses Bonnie's cheek, and then Stu's.]"
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","Love you, too. [Judy releases them and runs back to the train]"
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","[sniffing and tearing up, he briefly clenches his fists] Oh, cripes. Here come the waterworks. [He blubbers and clings to Bonnie, who pats his shoulder.] Oh, geez..."
"Scene_5:_Judy_Travels_to_Zootopia","Bonnie Hopps","Oh, Stu, pull it together."
"Scene_5:_Judy_Travels_to_Zootopia","Judy Hopps","Bye, everybody!"
"Scene_5:_Judy_Travels_to_Zootopia","Stu Hopps","Bye. Bye, Judy!"
"Scene_5:_Judy_Travels_to_Zootopia","Cotton","Bye, Judy, I love you! Bye! Bye!"
"Scene_5:_Judy_Travels_to_Zootopia","Judy Hopps","Bye!"
"Scene_5:_Judy_Travels_to_Zootopia","Gazelle","[On a video billboard] I'm Gazelle. Welcome to Zootopia."
"Scene_6:_The_Grand_Pangolin_Arms","Dharma Armadillo","And welcome to the Grand Pangolin Arms, luxury apartments with charm. Complementary de-lousing once a month... Don't lose your key. [gives her the key and leaves]"
"Scene_6:_The_Grand_Pangolin_Arms","Judy Hopps","Thank you. [sees Bucky and Pronk Oryx-Antlerson walking past her] Oh, hi! I'm Judy, your new neighbor."
"Scene_6:_The_Grand_Pangolin_Arms","Bucky Oryx-Antlerson","[grumpily] Yeah? Well, we're loud."
"Scene_6:_The_Grand_Pangolin_Arms","Pronk Oryx-Antlerson","[grumpily] Don't expect us to apologize for it."
"Scene_6:_The_Grand_Pangolin_Arms","Judy Hopps","Greasy walls... [puts her suitcase on the floor and presses down on the bed] Rickety bed... [Bucky and Pronk are heard next door saying ""Shut up!"" to each other, two pictures on Judy's wall move up and down as the two yell at each other] Crazy neighbors... [flops on the bed with a huge smile] I love it!!"
"Scene_6:_The_Grand_Pangolin_Arms","Judy Hopps","Eh... [Judy leaves the room. A few seconds later, she goes back in and grabs the repellent.]"
"Scene_7:_The_Bullpen","Muzzled wolf","Come on! He bared his teeth first!"
"Scene_7:_The_Bullpen","Benjamin Clawhauser","Mm-mm-mmm! [Judy walks up to the desk.]"
"Scene_7:_The_Bullpen","Judy Hopps","Excuse me!"
"Scene_7:_The_Bullpen","Benjamin Clawhauser","[looking around in surprise] Hm?"
"Scene_7:_The_Bullpen","Judy Hopps","Down here! [Clawhauser looks out from his desk and sees Judy] Hi!"
"Scene_7:_The_Bullpen","Benjamin Clawhauser","O.M. Goodness. [puts down his bowl of cereal, clearly surprised and excited] They really did hire a bunny. [Laughs] What?! Heh, I gotta tell you, you are even cuter than I thought you'd be!"
"Scene_7:_The_Bullpen","Judy Hopps","Ooh, uh, you probably didn't know, but a bunny can call another bunny cute, but when other animals do it, it's a little..."
"Scene_7:_The_Bullpen","Benjamin Clawhauser","[Gasps] I am so sorry! [pointing to himself] Me, Benjamin Clawhauser, the guy everyone thinks is just a flabby, donut-loving cop stereotyping you. Aw..."
"Scene_7:_The_Bullpen","Judy Hopps","[giggles] That's okay. [notices a donut stuck under Clawhauser's neck fold] Oh, you've actually - you've actually got... There's a..."
"Scene_7:_The_Bullpen","Benjamin Clawhauser","Um... A what?"
"Scene_7:_The_Bullpen","Judy Hopps","In your neck, the fold... The - the, there's..."
"Scene_7:_The_Bullpen","Benjamin Clawhauser","Where? [Pulls the donut out of his neck fat] Oh, there you went, you little dickens! [eats the donut whole.] Nom!"
"Scene_7:_The_Bullpen","Judy Hopps","[laughs nervously] I should get to roll call, so which way do I-"
"Scene_7:_The_Bullpen","Benjamin Clawhauser","[points] Oh, bull pen's over there to the left."
"Scene_7:_The_Bullpen","Judy Hopps","Great. Thank you! [Judy walks off to the bull pen as the other officers watch her in amusement.]"
"Scene_7:_The_Bullpen","Benjamin Clawhauser","Aww! That poor little bunny's gonna get eaten alive."
"Scene_7:_The_Bullpen","Judy Hopps","[cheerfully] Hey! Officer Hopps. You ready to make the world a better place?"
"Scene_7:_The_Bullpen","Officer Higgins","Atten-hut!"
"Scene_7:_The_Bullpen","Chief Bogo","Alright. Alright! Everybody sit. [Judy sits, but when she sits, only the tips of her ears are shown, so later she stands.] I've got three items on the docket. First... we need to acknowledge the elephant in the room. [turns to an elephant officer] Francine. [they look at Francine in mild suspense] Happy birthday."
"Scene_7:_The_Bullpen","Officer Francine","Heh, oh yeah? [gives Officer Jackson a noogie]"
"Scene_7:_The_Bullpen","Judy Hopps","[applauds and is later surprised] Oh, oh..."
"Scene_7:_The_Bullpen","Chief Bogo","Number two; there are some new recruits with us I should introduce, but I'm not going to, because I don't care."
"Scene_7:_The_Bullpen","Chief Bogo","Finally; we have fourteen missing mammal cases - all predators - from a giant polar bear to a teensy little otter, and City Hall is right up my tail to find them! This is priority number one. [Higgins gives Chief Bogo the files; Bogo takes out glasses and starts handing them out to the assigned officers] Assignments: Officers Grizzoli, Fangmeyer, Delgato; your teams take missing mammals from the Rainforest District. [Delgato takes the file from Grizzoli as the team leaves] Officers McHorn, Rhinowitz, Wolfard; your teams take Sahara Square. [McHorn takes the file and his team leaves] Officers Higgins, Snarlov, Trunkaby: Tundratown. [Trunkaby takes the file and the team leaves] And finally our first bunny: Officer Hopps... [Judy anxiously awaits for her assignment; Chief Bogo sighs, giving a blank stare] parking duty. Dismissed. [Judy shows signs of confusion.]"
"Scene_7:_The_Bullpen","Judy Hopps","Parking duty? [gets Chief Bogo's attention, who was leaving the room] Chief? Chief Bogo? [Chief Bogo puts on his glasses and looks down at Judy] Sir, you said there were fourteen missing mammal cases."
"Scene_7:_The_Bullpen","Chief Bogo","So?"
"Scene_7:_The_Bullpen","Judy Hopps","So I can handle one. You probably forgot, but I was top of my class at the academy."
"Scene_7:_The_Bullpen","Chief Bogo","Didn't forget. Just don't care."
"Scene_7:_The_Bullpen","Judy Hopps","Sir, I'm not just some token bunny."
"Scene_7:_The_Bullpen","Chief Bogo","Well then, writing one hundred tickets a day should be easy. [Leaves room; Judy seems stunned, she taps her foot angrily]"
"Scene_7:_The_Bullpen","Judy Hopps","A hundred tickets, I'm not gonna write a hundred tickets. I'm gonna write two-hundred tickets! Before noon!"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","Boom! Two-hundred tickets before noon. [Judy's own meter expires] Ugh... [prints out a ticket and gives it to her own vehicle] two-o-one."
"Scene_8:_Enter_Nick_Wilde","Doug","Hey, watch where you're goin', fox! [Nick looks back at Doug, lifts his arms with an angry look; Doug drives away]"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","[whispering] Where'd he go? [Judy hops down and goes inside the store]"
"Scene_8:_Enter_Nick_Wilde","Jerry Jumbeaux, Jr.","Listen, I don't know what you're doing skulking around during daylight hours, but I don't want any trouble in here, [Judy opens the lid off her belt to use the fox repellent] so hit the road!"
"Scene_8:_Enter_Nick_Wilde","Nick Wilde","I'm not looking for any trouble either, sir. I simply wanna buy a Jumbo-pop for my little boy. [a very small fennec fox, Finnick appears, in an elephant costume, sucking on a pacifier. He looks at Judy. Judy is taken aback; to Finnick] You want the red or the blue, pal?"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","Ugh, [closes the strap on her belt and starts to leave] I'm such a -"
"Scene_8:_Enter_Nick_Wilde","Jerry Jumbeaux, Jr.","[to Finnick] Okay, come on, kid, back up. [to Nick] Listen, buddy, what? There aren't any fox ice cream joints in your part of town? [Judy stops and overhears them, her ears pricking up.]"
"Scene_8:_Enter_Nick_Wilde","Nick Wilde","Uh, no, no. There are, there are. It's just, my boy, [patting Finnick on the head] this goofy little stinker, he loves all things elephant, wants to be one when he grows up. [Finnick puts on an elephant mask and trumpets like an elephant] Is that adorable?"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","Aww..."
"Scene_8:_Enter_Nick_Wilde","Nick Wilde","Who the heck am I to crush his little dreams, huh? Right?"
"Scene_8:_Enter_Nick_Wilde","Jerry Jumbeaux, Jr.","Look, you probably can't read, fox, [takes out a sign and points to it with his trunk] but the sign says ""We reserve the right to refuse service to anyone"", so beat it! [he points to the door with his trunk]"
"Scene_8:_Enter_Nick_Wilde","Elephant Lady","[pushing Nick from behind] You're holding up the line!"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","Hello? Excuse me?"
"Scene_8:_Enter_Nick_Wilde","Jerry Jumbeaux, Jr.","Hey, you're gonna have to wait your turn like everyone else, meter maid."
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","Actually, [pulls back the orange mesh strap of her meter maid outfit, revealing her police uniform and badge] I'm an officer. Just had a quick question: are your customers aware they're getting snot and mucus with their cookies and cream? [an elephant couple are eating ice cream together holding trunks. Upon hearing this, the male elephant spits the ice cream from his trunk in the female elephant's face.]"
"Scene_8:_Enter_Nick_Wilde","Jerry Jumbeaux, Jr.","What are you talkin' about?"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","Well, I don't wanna cause you any trouble, but I believe scooping ice cream with an ungloved trunk is a class-three health code violation. [Jerry notices an employee holding ice cream with his trunk. The employee drops the ice cream, wipes his trunk on his apron, and sheepishly walks out.] Which is kind of a big deal. [Nick stands bewildered at her eagerness to help him.] Of course I can let you off with a warning if you glove those trunks and, I don't know, finish selling this nice dad and his son a... [to Nick, whispered] What was it?"
"Scene_8:_Enter_Nick_Wilde","Nick Wilde","A jumbo pop. Please."
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","A jumbo pop."
"Scene_8:_Enter_Nick_Wilde","Jerry Jumbeaux, Jr.","[sighs in annoyance] Fifteen dollars."
"Scene_8:_Enter_Nick_Wilde","Nick Wilde","Thank you so much. [to Judy] Thank you. [Feels his pockets, then becomes mildly surprised.] Oh no, are you kidding me? I don't have my wallet! [chuckles nervously] I'd lose my head if it weren't attached to my neck. That's the truth. [sighs] Oh boy, [to Finnick] I'm sorry, pal. [strokes Finnick's head] Gotta be about the worst birthday ever. [places his paws on Finnick's cheeks] Please don't be mad at me. [kisses Finnick on the head and they walk out; to Judy] Thanks anyway. [as he takes Finnick out, the latter points back at the counter]"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","Keep the change."
"Scene_8:_Enter_Nick_Wilde","Nick Wilde","Officer, I can't thank you enough. So kind, really. Can I pay you back?"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","Oh no, my treat. It just - you know, it burns me up to see folks with such backward attitudes toward foxes. I just wanna say that you're a great dad and just a... A real articulate fella."
"Scene_8:_Enter_Nick_Wilde","Nick Wilde","Well, that is high praise. It's rare that I find someone so non-patronizing. Officer..."
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","[tips her hat] Hopps. Mr..."
"Scene_8:_Enter_Nick_Wilde","Nick Wilde","Wilde. Nick Wilde. [Judy and Nick shake paws; Judy looks at Finnick]"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","And you, little guy, you want to be an elephant when you grow up? You be an elephant. Because this is Zootopia. [places a Zootopia Police sticker on Finnick] Anyone can be anything. [Finnick toots]"
"Scene_8:_Enter_Nick_Wilde","Nick Wilde","Ah, boy, I tell him that all the time. [gives Finnick the jumbo pop] Alright, here you go. Two paws, yeah. Oh, look at that smile [Finnick smiles through the costume], that's a happy birthday smile! All right. Give her a little bye-bye toot-toot!"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","Toot-toot! [laughs]"
"Scene_8:_Enter_Nick_Wilde","Nick Wilde","Bye now! [Spins around and walks down the street with Finnick]"
"Scene_8:_Enter_Nick_Wilde","Judy Hopps","Goodbye! [cheerfully heads off on her way]"
"Scene_9:_The_Pawpsicle_Scam","Judy Hopps","Oh! Hey, little toot-toot..."
"Scene_9:_The_Pawpsicle_Scam","Nick Wilde","Pawpsicles! Get your pawpsicles."
"Scene_9:_The_Pawpsicle_Scam","Nick Wilde","Lumber delivery!"
"Scene_9:_The_Pawpsicle_Scam","Mouse foreman","What's with the color?"
"Scene_9:_The_Pawpsicle_Scam","Nick Wilde","The color? Uhh... It's red wood."
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Nick Wilde","Thirty-nine, forty. There you go. Way to work that diaper, big guy! [Finnick takes off the costume and goes in the van.] Hey! No kiss bye-bye for daddy? [Finnick slams the door, spits out the pacifier and looks at Nick.]"
"Scene_10:_Judy_Attempts_to_Arrest_Nick","Finnick","[in a deep gruff voice] You kiss me tomorrow, I'll bite your face off! [French hip hop music starts playing; Finnick puts on shades] Ciao. [Finnick drives off, revealing a glaring Judy. As Nick eats one of his own ""pawpsicles"", he stops at the sight of her.]"
